Term,Definition,Language
固い,かたい,japanese
固い,hard,english
柔らかい,やわらかい,japanese
柔らかい,soft,english
濃い,こい,japanese
濃い,thick,english
薄い,うすい,japanese
薄い,thin,english
多い,おおい,japanese
多い,many,english
少ない,すくない,japanese
少ない,few,english
